mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24891119003295897,0.11228830843522043,0.004464197158813477,0.0005500654322654236,relu,0.001,32,"(100,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6733766233766234,0.5388418079096046,0.6254693666154374,0.6503478125179655,0.5494219492648401,0.6074915119368942,0.054010313162805426,69
0.18942298889160156,0.06464148956873939,0.004156732559204101,0.00011152787911627745,relu,0.001,32,"(100,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6517099567099567,0.6545085169557744,0.6275330949243992,0.6368190532163497,0.47727272727272724,0.6095686698158413,0.06687749741187887,67
0.32204651832580566,0.07272594308545906,0.00477132797241211,0.0011840633489637953,relu,0.001,32,"(50, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6464576074332172,0.5964285714285714,0.6302097804076463,0.6077497665732959,0.5920080433969322,0.6145707538479326,0.02071758256427918,50
0.22010421752929688,0.03239223913681076,0.005820417404174804,0.003231104024272955,relu,0.001,32,"(50, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.649970605526161,0.6459414981154111,0.6324117477963632,0.6790001936996233,0.5458588950192188,0.6306365880313555,0.045027749850636706,28
0.38125882148742674,0.18276771369117006,0.004138755798339844,0.0002664032232734742,relu,0.001,32,"(100, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6643406691715871,0.5519666953775481,0.6275536429382583,0.67878623434179,0.4928104575163399,0.6030915398691047,0.07050560821292788,74
0.2847159385681152,0.06200154482527021,0.005022954940795898,0.0016496521583345008,relu,0.001,32,"(100, 50)",0.01,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6726705692033154,0.6225301046192487,0.6295845929528859,0.6427979122969611,0.6212516733601071,0.6377669704865037,0.019054868152873484,16
0.15733780860900878,0.052882672528827675,0.0070838451385498045,0.0051619633408590895,relu,0.001,64,"(50,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6425296925296925,0.5726378356220536,0.5002929907595223,0.6050135501355013,0.46900244656788076,0.55789530312293,0.06452971047883148,127
0.09733185768127442,0.02707268683900544,0.003923559188842773,0.0004209022337179184,relu,0.001,64,"(50,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6410338359453177,0.5792855268205036,0.6101121689668879,0.6184260852935551,0.5055315865165386,0.5908778407085606,0.047037971613031616,83
0.13022303581237793,0.08518162062559236,0.004107904434204101,0.0001815315616825845,relu,0.001,64,"(100,)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.613204698493221,0.5567760273642627,0.6059525199202757,0.580509700451897,0.517124365679279,0.5747134623817871,0.035012300647239064,104
0.15922298431396484,0.03780859788925838,0.00395817756652832,0.00037114580924100995,relu,0.001,64,"(100,)",0.01,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.6517099567099567,0.6300308341447582,0.6783663874493185,0.6533353425758489,0.6781487598972262,0.6583182561554217,0.01824200504518536,1
0.2447685718536377,0.06974617650940172,0.004258871078491211,0.00016874936244209345,relu,0.001,64,"(50, 50)",0.001,adam,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6465061120233534,0.5890243902439024,0.6463394413416859,0.5287637698898409,0.4944863215584742,0.5810240070114514,0.06138065095446348,97
